iter	MultiClass
0	1.086506268
1	1.074981418
2	1.063739737
3	1.052549285
4	1.043503783
5	1.031824465
6	1.022689025
7	1.013806942
8	1.002988516
9	0.9930544537
10	0.9844272391
11	0.9757829993
12	0.966673469
13	0.958514361
14	0.9490819983
15	0.9410854682
16	0.9313287765
17	0.9234368631
18	0.9146863388
19	0.9067427274
20	0.89964367
21	0.8928595304
22	0.8836083449
23	0.8751990382
24	0.8678364741
25	0.8600529928
26	0.8525556222
27	0.8451476511
28	0.8374892774
29	0.8301272536
30	0.8218661971
31	0.8149302327
32	0.8100460126
33	0.8042306322
34	0.797916068
35	0.7919960947
36	0.7858179847
37	0.7791141043
38	0.7723958133
39	0.7652568556
40	0.7590079662
41	0.7524066627
42	0.7465319173
43	0.7404061034
44	0.7340316842
45	0.7285863964
46	0.7218249388
47	0.7163146614
48	0.7104886382
49	0.7045697331
50	0.6987557568
51	0.6934849748
52	0.6881199445
53	0.6831497642
54	0.6773462307
55	0.673539149
56	0.6683438348
57	0.6634560774
58	0.6582078313
59	0.6525967895
60	0.6473786361
61	0.6425183572
62	0.6376607175
63	0.6322323438
64	0.6271794019
65	0.6227008966
66	0.6177955612
67	0.6130884843
68	0.6085696687
69	0.6041823508
70	0.6000848899
71	0.596746707
72	0.5927872201
73	0.5891310683
74	0.5856368272
75	0.5820880508
76	0.5777404589
77	0.5733841248
78	0.569497546
79	0.565505197
80	0.5613681753
81	0.5580717935
82	0.5542407368
83	0.5511334465
84	0.5476333083
85	0.5439861686
86	0.5405018606
87	0.5364622187
88	0.5330356202
89	0.5294945856
90	0.5263339207
91	0.5231370589
92	0.5198859361
93	0.5161186831
94	0.5125258496
95	0.5097693302
96	0.5061638169
97	0.5023717023
98	0.4991350261
99	0.495297354
